Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-25,166,23,157,61,101,6,389,34,264
2026-08-26,61,23,93,62,40,10,278,15,311
2026-08-27,127,50,107,45,119,19,216,34,353
2026-08-28,97,184,126,17,117,81,433,59,230
2026-08-29,71,209,44,7,53,88,113,31,1
2026-08-30,121,140,125,17,114,23,333,70,170
2026-08-31,60,72,19,30,37,17,51,8,256
2026-09-01,40,53,105,72,53,10,359,31,241
2026-09-02,133,57,120,44,183,16,343,49,142
2026-09-03,153,60,126,34,128,20,426,36,106
2026-09-04,65,137,121,41,50,42,192,32,222
2026-09-05,122,80,113,14,130,21,366,69,67
2026-09-06,121,248,79,29,122,81,128,54,134
2026-09-07,138,117,148,53,147,36,367,41,114
2026-09-08,132,40,10,4,125,6,21,34,257
2026-09-09,175,131,127,17,225,50,424,83,293
2026-09-10,86,193,94,54,96,81,169,30,279
2026-09-11,178,23,157,75,224,6,489,152,145
2026-09-12,171,277,84,22,224,45,279,130,63
2026-09-13,87,269,132,5,62,88,440,18,73
2026-09-14,109,61,59,75,102,27,169,36,85
2026-09-15,138,205,124,54,156,64,251,59,312
2026-09-16,180,175,118,26,195,72,382,102,48
2026-09-17,37,123,99,7,29,35,298,14,90
2026-09-18,92,134,137,64,92,30,326,34,195
2026-09-19,130,183,132,27,139,32,340,53,114
2026-09-20,163,293,164,30,227,107,267,141,43
2026-09-21,98,19,176,41,84,7,478,28,347
2026-09-22,67,76,34,39,70,30,54,33,131
2026-09-23,38,122,156,72,52,51,485,25,143
